index	code	severity	small_ratio	turbo_ratio	likely_words	expected	small	turbo
560	num051	critical	0.0	0.118	zero, nine, eight, six, seven, three, four, five, po	zero nine eight six, seven three four, five six seven eight po.	0986-734-567-IPO	0-986-734-5678 po.
565	num056	critical	0.0	0.118	zero, nine, six, seven, eight, one, two, three, four, five, po	zero nine six seven, eight nine one, two three four five po.	0967-891-2345	0-967-891-2345 po.
600	num091	critical	0.0	0.118	zero, nine, four, five, six, seven, eight, one, two, po	zero nine four five, six seven eight, nine zero one two po.	0-945-678-9012.	0-945-678-9012 po.
605	num096	critical	0.0	0.118	zero, nine, six, eight, seven, five, four, three, two, one, po	zero nine six eight, seven five four, three two one zero po.	To 0968-754-321-04.	Pusira 968-754-3210 po.
540	num031	critical	0.0	0.125	zero, nine, three, one, six, seven, eight, two, po	zero nine three one, six seven eight, nine zero one two po.	0-931-678-90124	0931-678-9012 po.
575	num066	critical	0.0	0.125	zero, nine, two, four, six, eight, one, three, five, seven, po	zero nine two four, six eight one, three five seven nine po.	0-9-24-681-357-90.	0924-681-3579 po.
585	num076	critical	0.0	0.125	zero, nine, eight, seven, six, five, four, three, two, one, po	zero nine eight seven, six five four, three two one zero po.	0987 654 3210	0987-654-3210 po.
423	grt014	critical	0.154	0.0	may, i, have, your, full, name, please	may i have your full name, please?	Buy a hamper for me please.	By how performing this?
580	num071	critical	0.118	0.125	zero, nine, three, four, five, six, seven, eight, one	zero nine three four, five six seven, eight nine zero one po.	0-934-567-8901-PO	0934-567-8901 po.
595	num086	critical	0.118	0.125	zero, nine, one, two, three, four, five, six, seven, eight	zero nine one two, three four five, six seven eight nine po.	0-912-345-6789-po.	0912-345-6789 po.
1045	prd036	critical	0.19	0.182	sakto, po, ang, dating, ninyo, nag, restock, kaninang, umaga, lang	sakto po ang dating ninyo, nag restock po kami kaninang umaga lang.	Sa atopong natin nalista po kami tinig ng magbalang.	Sa ito pong natin niyo, naglasta po kami tininang umagbalang.
535	num026	critical	0.2	0.211	zero, nine, two, seven, six, four, one, three, five, po	zero nine two seven, six four one, two three four five po ang number.	0-927-641-2345 ang number.	0927-641-2345 ang number.
313	fup004	critical	0.074	0.37	kumusta, po, ang, naging, experience, ninyo, binili, ninyong, item, noong, nakaraang, linggo, sa	kumusta po ang naging experience ninyo sa binili ninyong item noong nakaraang linggo?	Kung sa komen yung X-Face niyo, sabihin din yung IT ng lakarang nalinggo.	Pusta po ang mag-experience niya, sabihin niya din yung item ng makarang linggo.
555	num046	critical	0.222	0.222	zero, nine, five, six, seven, eight, one, two, three	zero nine five six, seven eight nine, zero one two three po ito.	0956-789-0123 po ito.	0956-789-0123 po ito.
515	num006	critical	0.32	0.174	numerong, zero, nine, one, seven, eight, two, three, four, paki, check	paki check po ang numerong zero nine one seven, eight eight eight, one two three four.	Paki-check po ang number nung 0917-888-1234.	Pakicheck po ang number 0917-888-1234.
562	num053	critical	0.16	0.348	nine, thirty, pm, po, magtatapos, live, selling, session, mamayang, gabi	nine thirty pm po magtatapos ang ating live selling session mamayang gabi.	9.30 p.m. pumutatapos ang ating leave sa ating season mga maindabay.	Nainter KPM po matatapos ang ating leave saling session mamayin labe.
571	num062	critical	0.211	0.333	four, thousand, five, hundred, one, pesos, kabuuang, halaga, ngayon	four thousand five hundred one pesos po ang kabuuang halaga ngayon.	$4,501 po ang kabo ang halada mayon.	P4,501 po ang kabuang halada ngayon.
1001	prc142	critical	0.16	0.385	naka, indicate, po, rito, nabayaran, niyo, na, downpayment, one, thousand	naka indicate po rito na nabayaran niyo na yung downpayment na one thousand.	Baka, hindi kipurito na nabayaan yun ay yung down payment 21,000.	Maka-indicate po dito na nabayaan nyo na yung down payment law 1000.
545	num036	critical	0.273	0.3	zero, nine, four, seven, five, eight, six, three, two, one	zero nine four seven, five eight six, three two one zero po ang number.	0-947-586-321-0 po ang number.	0947-586-3210 po ang number.
597	num088	critical	0.0	0.6	two, thirty, pm, po, tayo, magkikita, sa, kanto, para, pickup	two thirty pm po tayo magkikita sa kanto para sa pickup.	To be fair, kita membutuhi yang bisa kita sakit untuk sepeak-peak-up.	2x30 tempo tayo magkikita sa kato para sa pickup.
528	num019	critical	0.25	0.364	twenty, five, percent, downpayment, muna, nating, i, settle, ngayon, ang	twenty five percent downpayment po muna ang kailangan nating i settle ngayon.	25% ang payment po mo na ang kailangan natin isa to niyon.	25% ang payment po muna yung kailangan natin isettle ngayon.
839	pay080	critical	0.0	0.615	pagkatapos, niyo, pong, magbayad, mag, message, lang, po, agad, kayo, sa, aming, page	pagkatapos niyo pong magbayad, mag message lang po agad kayo sa aming page.	Contacto-se por uma bairra, mas não é sessão por abertureça, ah, não entende?	Pagkatapos sila po mabayad, mag-message yan po about kayo sa aming page.
1107	prd098	critical	0.16	0.462	pare, pareho, lang, po, presyo, nila, kahit, ano, pa, pong, kulay, piliin	pare pareho lang po ang presyo nila, kahit ano pa pong kulay ang piliin.	Paribayan ang pumpes na iya, gaya itang nang papukulay ang beyan.	Pariparen ko lang po ang persa nila kahit anong pagpukulay ang bigyan.
214	dlv115	critical	0.0	0.636	ang, cut, off, po, natin, para, ma, ship, ngayon, ay, three, pm	ang cut off po natin para ma ship ngayon ay three pm.	Phone call with a Filipino customer of AIStaff.	Pag-taff po natin para ma-ship ngayon ay 3DM.
228	dlv129	critical	0.32	0.333	ipapadala, lbc, mas, sigurado, kayong, makakarating, nang, ligtas, sa	ipapadala po natin sa lbc para mas sigurado kayong makakarating nang ligtas.	Bapadala po natin sa Gid para masigulado ko yung makakahanating ng lead task.	Ipapadala po natin si Steve para masigurado kayo makakanating ng lead task.
918	prc059	critical	0.222	0.444	bale, aabot, po, lahat, one, thousand, fifty, pesos	bale aabot po lahat ng one thousand fifty pesos.	Balia, abut mo na halap ng 1,050 pesos.	Para i-aabot po ang lahat ng P1,050.
557	num048	critical	0.167	0.5	three, pm, kayo, tumawag, ulit, makuha, ang, tracking, details, ninyo	three pm po kayo tumawag ulit para makuha ang tracking details ninyo.	Taripayin po kait ang mga bulit para makuwaan lakang detayas n'yong.	Talipihin po kayo ng mga kulit para makuha ang laking details nyo.
683	obj074	critical	0.167	0.5	wag, po, kayong, mag, alangan, nagpapadala, kami, ng, litrato, i, ship	wag po kayong mag alangan, nagpapadala po kami ng litrato bago namin i ship.	Pagpukay maganahan, nadpapad nalabukami nalit na nito bago namin ishit.	Huwag po kayo mag-anahan, nagpapagdala po kami ng leta ito bago namin ishit.
779	pay020	critical	0.0	0.667	cleared, na, po, ang, inyong, account, kaya, wala, kayong, aalalahanin	cleared na po ang inyong account kaya wala na kayong aalalahanin.	Tagalog, Tagalog, Taglish, booking, price, follow up.	Tiring up ang inyong account kaya wala na kayong kaalalahanin.
871	prc012	critical	0.148	0.519	makakakuha, po, ng, kung, aabot, two, thousand, ang, bibilhin, niyo	makakakuha po kayo ng freebie kung aabot ng two thousand ang bibilhin niyo.	Baka-kaka ko kayo na freebie kong abu. Douto ba kaya sandang bibili nyo?	Maka kakuko kayo ng freebie kung aabot daw-tulit ako siya ng bibili niyo.
172	dlv073	critical	0.364	0.316	araw, nagpapadala, ng, packages, tuwing, four, kaming, pm	araw araw po kaming nagpapadala ng packages tuwing four pm.	Paaw, araw po kaming nagpapad na nang package at 3.40 PM.	Tagalog po kami na ipapadala ng packages during 4pm.
205	dlv106	critical	0.37	0.32	saang, barangay, eksakto, lokasyon, ma, pin, nang, maayos, po, ang	saang barangay po eksakto ang inyong lokasyon para ma pin natin nang maayos?	Sa ang baron ay po, exacto ang inyong location para mapin natin ang makayos.	Saan ba na ipo eksaktong inyong okasyon para mapin natin ng maayos?
525	num016	critical	0.364	0.364	zero, nine, one, five, four, three, two	zero nine one nine, five four three, two one zero nine po ang contact number.	0919-543-2109 po ang contact number.	0919-543-2109 po ang contact number.
60	cls061	critical	0.4	0.345	anuman, po, isang, malaking, karangalan, ang, paglingkuran, kayo, walang, ngayong	walang anuman po, isang malaking karangalan ang paglingkuran kayo ngayong araw na ito!	Walang anong malapos sa mga lalala ng pagdinko ngayong araw na ito.	Wala ka naman po sa malaking karunalan ng pag-dinko ng tayong mayayong araw na ito.
917	prc058	critical	0.2	0.545	kung, iisahin, niyo, two, hundred, ang, presyo, bawat, piraso	kung iisahin niyo po, two hundred ang presyo ng bawat piraso.	Kuyisahin nyo po, 200 na pressure ng bayot pedaso.	Kung isahin niyo po, tumukan mo itong presyo ng bawat pedaso.
503	grt094	critical	0.286	0.462	sigurado, akong, maihahatid, ito, wag, po, kayong, mag, alala	sigurado po akong maihahatid ito sa tamang oras, wag po kayong mag alala.	Sigurod na po ako mga yung hati dito sa tamang oras. Pagpukay mo gala-lala.	Siguro na po ako makihahati nito sa tamang oras. Huwag po kayong magalala.
117	dlv018	critical	0.333	0.417	makakaasa, po, kayong, ipapadala, agad, parcel, ninyo, namin	makakaasa po kayong ipapadala namin agad ang replacement parcel ninyo bukas.	Paka-kasap o kay, ipadod namin ni Dad ang replacement person ni Bukas.	Makakaasa po kayo iparado ng nanay ni dad ang replacement personal ni bukas.
