word	count
kayong	47
five	34
mag	33
kung	32
hundred	32
pong	31
three	29
one	29
eight	29
ninyong	25
wag	24
thousand	24
ngayon	23
nine	23
four	22
inyong	22
seven	21
two	21
aming	21
six	20
kapag	19
nang	19
para	18
presyo	18
pasensya	18
yung	18
ulit	17
zero	16
alala	15
twenty	15
maraming	14
percent	13
bayad	13
kaya	12
bago	12
magandang	12
agad	11
huwag	11
gusto	11
muna	11
pesos	11
fifty	11
diyan	11
paumanhin	10
kailangan	10
nating	10
iyan	10
resibo	10
kami	9
nag	9
piraso	9
pag	9
ipapadala	9
thirty	8
gamit	8
mula	8
salamat	8
sakaling	8
ito	8
sigurado	8
kanina	8
maayos	8
makakaasa	8
mismong	8
paki	8
gcash	7
naka	7
tumawag	7
umaga	7
naiintindihan	7
hanggang	7
tungkol	7
tawagan	7
courier	7
tumatawag	7
maaari	7
ten	7
babayaran	7
eksaktong	7
natin	6
naging	6
gustong	6
item	6
downpayment	6
bale	6
stock	6
shop	6
ako	6
araw	6
iche	6
lamang	6
hihintayin	6
address	6
palagi	6
account	5
mga	5
pwede	5
oras	5
upang	5
tawag	5
kailan	5
rin	5
mabilis	5
ano	5
makuha	5
bawat	5
kabuuang	5
halaga	5
itong	5
kamustahin	5
napag	5
bagong	5
namin	5
check	5
byahe	5
kahon	5
naku	5
kinuha	5
nakadepende	5
medyo	5
tayo	4
wala	4
pagkatapos	4
matagal	4
dating	4
binili	4
noong	4
libre	4
kahit	4
bibilhin	4
nila	4
kulay	4
huling	4
kaninang	4
kaming	4
uusap	4
tayong	4
kabilang	4
usapan	4
desisyon	4
hello	4
akong	4
tatawag	4
nais	4
maibibigay	4
kong	4
kumpara	4
naming	4
verify	4
itanong	4
kasama	4
produkto	4
kaunti	4
meron	4
amin	4
tuloy	4
hayaan	4
aasikasuhin	4
ipadala	4
nakuha	4
papunta	4
produktong	4
send	4
sukli	4
tatlong	4
sulit	4
dagdag	4
ingat	4
talaga	4
sisingilin	4
malinaw	4
kanto	3
magbayad	3
system	3
transaksyon	3
susunod	3
materyales	3
umorder	3
mabahala	3
aabot	3
mamayang	3
rito	3
bumili	3
tumatanggap	3
customer	3
sakto	3
restock	3
muli	3
order	3
kahapon	3
metro	3
ninety	3
pick	3
delivery	3
iyon	3
ngunit	3
makakarating	3
mas	3
ginamit	3
nito	3
