index	code	severity	ratio	expected	transcript	missing_words	inserted_words
214	dlv115	repeat	0.0	ang cut off po natin para ma ship ngayon ay three pm.	Phone call with a Filipino customer of AIStaff.	ang cut off po natin para ma ship ngayon ay three pm	phone call with a filipino customer of aistaff
540	num031	repeat	0.0	zero nine three one, six seven eight, nine zero one two po.	0-931-678-90124	zero nine three one six seven eight two po	0 931 678 90124
560	num051	repeat	0.0	zero nine eight six, seven three four, five six seven eight po.	0986-734-567-IPO	zero nine eight six seven three four five po	0986 734 567 ipo
565	num056	repeat	0.0	zero nine six seven, eight nine one, two three four five po.	0967-891-2345	zero nine six seven eight one two three four five po	0967 891 2345
575	num066	repeat	0.0	zero nine two four, six eight one, three five seven nine po.	0-9-24-681-357-90.	zero nine two four six eight one three five seven po	0 9 24 681 357 90
585	num076	repeat	0.0	zero nine eight seven, six five four, three two one zero po.	0987 654 3210	zero nine eight seven six five four three two one po	0987 654 3210
597	num088	repeat	0.0	two thirty pm po tayo magkikita sa kanto para sa pickup.	To be fair, kita membutuhi yang bisa kita sakit untuk sepeak-peak-up.	two thirty pm po tayo magkikita sa kanto para pickup	to be fair kita membutuhi yang bisa kita sakit untuk sepeak peak up
600	num091	repeat	0.0	zero nine four five, six seven eight, nine zero one two po.	0-945-678-9012.	zero nine four five six seven eight one two po	0 945 678 9012
605	num096	repeat	0.0	zero nine six eight, seven five four, three two one zero po.	To 0968-754-321-04.	zero nine six eight seven five four three two one po	to 0968 754 321 04
779	pay020	repeat	0.0	cleared na po ang inyong account kaya wala na kayong aalalahanin.	Tagalog, Tagalog, Taglish, booking, price, follow up.	cleared na po ang inyong account kaya wala kayong aalalahanin	tagalog tagalog taglish booking price follow up
839	pay080	repeat	0.0	pagkatapos niyo pong magbayad, mag message lang po agad kayo sa aming page.	Contacto-se por uma bairra, mas não é sessão por abertureça, ah, não entende?	pagkatapos niyo pong magbayad mag message lang po agad kayo sa aming page	contacto se por uma bairra mas n o é sess o por aberture a ah n o entende
843	pay084	repeat	0.0	mag rereply po ang aming system kapag na confirm na ang inyong naging transaksyon.	Magrena pwede pwede pwede pwede pwede pwede pwede pwede pwede.	mag rereply po ang aming system kapag na confirm inyong naging transaksyon	magrena pwede pwede pwede pwede pwede pwede pwede pwede pwede
1028	prd019	repeat	0.0	paumanhin po, pero matagal pa po ang susunod na dating ng materyales.	Names may appear, but Tagalog may not be a material.	paumanhin po pero matagal pa ang susunod na dating ng materyales	names may appear but tagalog may not be a material
359	fup050	repeat	0.065	kung may mga kaibigan kayong gustong umorder, pwede niyo silang papuntahin sa aming pahina.	If you have a friend that you want to murder, you may now go to our house.	kung mga kaibigan kayong gustong umorder pwede niyo silang papuntahin sa aming pahina	if you have a friend that you want to murder you now go to our house
313	fup004	repeat	0.074	kumusta po ang naging experience ninyo sa binili ninyong item noong nakaraang linggo?	Kung sa komen yung X-Face niyo, sabihin din yung IT ng lakarang nalinggo.	kumusta po ang naging experience ninyo binili ninyong item noong nakaraang linggo	kung komen yung x face niyo sabihin din yung it ng lakarang nalinggo
761	pay002	repeat	0.087	yes po, pwede kayong magbayad gamit ang inyong gcash o kaya maya.	Despo, pwede gai wabay diame den yun ji chashokha yama ya.	yes po kayong magbayad gamit ang inyong gcash o kaya maya	despo gai wabay diame den yun ji chashokha yama ya
699	obj090	repeat	0.091	huwag po kayong mag alala kung kailangan ninyo pa ng oras upang magpasya.	Kumpukay magalala kung payayangan niyo panagwala sa upong magpasha.	huwag po kayong mag alala kailangan ninyo pa ng oras upang magpasya	kumpukay magalala payayangan niyo panagwala sa upong magpasha
580	num071	repeat	0.118	zero nine three four, five six seven, eight nine zero one po.	0-934-567-8901-PO	zero nine three four five six seven eight one	0 934 567 8901
595	num086	repeat	0.118	zero nine one two, three four five, six seven eight nine po.	0-912-345-6789-po.	zero nine one two three four five six seven eight	0 912 345 6789
877	prc018	repeat	0.118	kapag kumuha kayo ng dalawa, may libre na po kayong isa!	Bapakong buwakawa, may libeli buwakay, Liza.	kapag kumuha kayo ng dalawa libre na po kayong isa	bapakong buwakawa libeli buwakay liza
375	fup066	repeat	0.125	wag po kayong mabahala, maghihintay po kami sa inyong tawag kahit kailan kayo maging handa.	Mabukay mo ba hala, magiging tayo bukame sa inyan pa wad dahil jailan, tayo mo ding handa.	wag po kayong mabahala maghihintay kami inyong tawag kahit kailan kayo maging	mabukay mo ba hala magiging tayo bukame inyan pa wad dahil jailan tayo mo ding
871	prc012	repeat	0.148	makakakuha po kayo ng freebie kung aabot ng two thousand ang bibilhin niyo.	Baka-kaka ko kayo na freebie kong abu. Douto ba kaya sandang bibili nyo?	makakakuha po ng kung aabot two thousand ang bibilhin niyo	baka kaka ko na kong abu douto ba kaya sandang bibili nyo
423	grt014	repeat	0.154	may i have your full name, please?	Buy a hamper for me please.	may i have your full name	buy a hamper for me
181	dlv082	repeat	0.16	pwede rin po kayong gumamit ng grab express para mas mabilis makarating.	Koy di bing kong kayo yung tumamit ng DrabExpress pa mas pabilis makalating.	pwede rin po kayong gumamit grab express para mabilis makarating	koy di bing kong kayo yung tumamit drabexpress pa pabilis makalating
562	num053	repeat	0.16	nine thirty pm po magtatapos ang ating live selling session mamayang gabi.	9.30 p.m. pumutatapos ang ating leave sa ating season mga maindabay.	nine thirty pm po magtatapos live selling session mamayang gabi	9 30 p m pumutatapos leave sa ating season mga maindabay
1001	prc142	repeat	0.16	naka indicate po rito na nabayaran niyo na yung downpayment na one thousand.	Baka, hindi kipurito na nabayaan yun ay yung down payment 21,000.	naka indicate po rito nabayaran niyo na downpayment one thousand	baka hindi kipurito nabayaan yun ay down payment 21 000
