word	count
po	203
ang	159
na	99
niyo	97
ng	82
ninyo	80
ko	56
lang	56
kayong	55
kayo	49
hundred	45
five	44
kung	39
one	38
mag	38
pong	37
sa	36
thousand	34
three	34
pesos	31
eight	31
ngayon	30
four	27
nine	27
wag	26
two	26
para	26
ninyong	25
inyong	24
pasensya	23
aming	23
six	23
yung	23
seven	22
presyo	22
kapag	21
maraming	21
twenty	20
your	19
nang	19
ulit	18
percent	18
am	17
thirty	17
fifty	16
zero	16
iyan	15
diyan	15
alala	15
pm	15
agad	14
bago	14
kaya	14
nating	14
pa	14
courier	14
bayad	13
magandang	13
huwag	13
ma	13
pag	12
paumanhin	12
muna	12
we	11
kailangan	11
salamat	11
ay	11
naku	11
gusto	11
paki	10
naka	10
ipapadala	10
resibo	10
may	10
our	10
ten	10
si	10
kanina	9
maayos	9
makakaasa	9
iche	9
mismong	9
gamit	9
kami	9
at	9
item	9
ito	9
piraso	9
nag	9
sigurado	8
address	8
check	8
tungkol	8
sakaling	8
maaari	8
mula	8
gcash	8
downpayment	8
nais	8
stock	8
naiintindihan	8
naging	7
hanggang	7
umaga	7
shop	7
palagi	7
natin	7
talaga	7
ako	7
tayong	7
eksaktong	7
tawagan	7
you	7
tumatawag	7
tumawag	7
twelve	7
babayaran	7
kinuha	6
bale	6
namin	6
akong	6
araw	6
bagong	6
delay	6
please	6
pick	6
itong	6
gustong	6
pwede	6
rin	6
lamang	6
hihintayin	6
mga	6
produktong	6
account	6
good	6
halaga	6
binili	5
delivery	5
pagkatapos	5
kong	5
kahon	5
completely	5
kaming	5
ingat	5
byahe	5
medyo	5
wala	5
up	5
the	5
mamayang	5
to	5
mabilis	5
makuha	5
kailan	5
ba	5
dagdag	5
nakadepende	5
malinaw	5
ninety	5
napag	5
kamustahin	5
following	5
naming	5
oras	5
tawag	5
can	5
ano	5
matagal	5
tayo	5
bawat	5
kabuuang	5
kulay	5
huling	5
okay	5
upang	5
pera	5
send	5
restock	5
that	4
transaction	4
system	4
sukli	4
nakuha	4
total	4
bibilhin	4
nila	4
idadagdag	4
ipa	4
ilalagay	4
titignan	4
bukas	4
walang	4
uusap	4
aasikasuhin	4
ngayong	4
matanggap	4
maganda	4
ating	4
dahil	4
kaninang	4
order	4
binigay	4
tatawag	4
shipping	4
babalik	4
promo	4
sulit	4
libre	4
papunta	4
ipadala	4
tatlong	4
metro	4
opisina	4
dating	4
sisingilin	4
dalawang	4
kabilang	4
customer	4
bank	4
cash	4
refund	4
hello	4
noong	4
desisyon	4
mensahe	4
verify	4
produkto	4
maibibigay	4
usapan	4
itanong	4
umorder	4
tuloy	4
kahit	4
pagtawag	4
hayaan	4
available	4
iyon	4
meron	4
amin	4
tumatanggap	4
doon	4
ibabayad	4
ginamit	4
kaunti	4
kasama	4
opo	4
galing	4
sale	4
kumpara	4
anumang	3
makasiguro	3
confirm	3
ibibigay	3
impormasyon	3
pickup	3
transaksyon	3
main	3
asahan	3
hapon	3
muli	3
isang	3
nagpapasalamat	3
pagbili	3
nawa	3
nandito	3
pack	3
nagka	3
ngunit	3
reschedule	3
parcel	3
mabahala	3
weekend	3
nasaan	3
din	3
no	3
nandiyan	3
malapit	3
makakarating	3
oo	3
naman	3
day	3
bang	3
and	3
track	3
manila	3
tuwing	3
singil	3
will	3
gabi	3
pinakamalapit	3
sila	3
kasya	3
loob	3
mas	3
contact	3
kanto	3
inyo	3
tracking	3
numero	3
